"E2down_split"
"ENSG00000145439.7" "ENSG00000145439"
"ENSG00000258539.1" "ENSG00000258539"
"ENSG00000174136.7" "ENSG00000174136"
"ENSG00000141580.11" "ENSG00000141580"
"ENSG00000176834.9" "ENSG00000176834"
"ENSG00000005187.7" "ENSG00000005187"
"ENSG00000158055.11" "ENSG00000158055"
"ENSG00000108375.8" "ENSG00000108375"
"ENSG00000141568.15" "ENSG00000141568"
"ENSG00000129521.9" "ENSG00000129521"
"ENSG00000115268.5" "ENSG00000115268"
"ENSG00000168209.4" "ENSG00000168209"
"ENSG00000204323.5" "ENSG00000204323"
"ENSG00000182580.2" "ENSG00000182580"
"ENSG00000158769.13" "ENSG00000158769"
"ENSG00000138764.9" "ENSG00000138764"
"ENSG00000165029.11" "ENSG00000165029"
"ENSG00000196917.4" "ENSG00000196917"
"ENSG00000205730.5" "ENSG00000205730"
"ENSG00000113369.4" "ENSG00000113369"
"ENSG00000138286.10" "ENSG00000138286"
"ENSG00000164761.4" "ENSG00000164761"
"ENSG00000162989.3" "ENSG00000162989"
"ENSG00000125968.7" "ENSG00000125968"
"ENSG00000117289.7" "ENSG00000117289"
"ENSG00000138061.7" "ENSG00000138061"
"ENSG00000134490.9" "ENSG00000134490"
"ENSG00000104081.9" "ENSG00000104081"
"ENSG00000129195.11" "ENSG00000129195"
"ENSG00000185745.8" "ENSG00000185745"
"ENSG00000154222.10" "ENSG00000154222"
"ENSG00000171617.9" "ENSG00000171617"
"ENSG00000172081.9" "ENSG00000172081"
"ENSG00000137834.10" "ENSG00000137834"
"ENSG00000269881.1" "ENSG00000269881"
"ENSG00000175155.4" "ENSG00000175155"
"ENSG00000155324.5" "ENSG00000155324"
"ENSG00000005436.9" "ENSG00000005436"
"ENSG00000213865.3" "ENSG00000213865"
"ENSG00000164938.9" "ENSG00000164938"
"ENSG00000140105.13" "ENSG00000140105"
"ENSG00000164048.9" "ENSG00000164048"
"ENSG00000143951.11" "ENSG00000143951"
"ENSG00000089220.4" "ENSG00000089220"
"ENSG00000143549.15" "ENSG00000143549"
"ENSG00000137285.9" "ENSG00000137285"
"ENSG00000184154.8" "ENSG00000184154"
"ENSG00000115318.7" "ENSG00000115318"
"ENSG00000177932.6" "ENSG00000177932"
"ENSG00000184845.3" "ENSG00000184845"
"ENSG00000143217.7" "ENSG00000143217"
"ENSG00000113532.8" "ENSG00000113532"
"ENSG00000151458.7" "ENSG00000151458"
"ENSG00000159388.5" "ENSG00000159388"
"ENSG00000053254.11" "ENSG00000053254"
"ENSG00000138829.6" "ENSG00000138829"
"ENSG00000119699.3" "ENSG00000119699"
"ENSG00000172602.5" "ENSG00000172602"
"ENSG00000177706.8" "ENSG00000177706"
"ENSG00000111912.14" "ENSG00000111912"
"ENSG00000137393.8" "ENSG00000137393"
"ENSG00000198948.7" "ENSG00000198948"
"ENSG00000014919.8" "ENSG00000014919"
"ENSG00000115738.5" "ENSG00000115738"
"ENSG00000106012.13" "ENSG00000106012"
"ENSG00000138650.7" "ENSG00000138650"
"ENSG00000184635.9" "ENSG00000184635"
"ENSG00000092969.7" "ENSG00000092969"
"ENSG00000169242.7" "ENSG00000169242"
"ENSG00000138081.15" "ENSG00000138081"
"ENSG00000147883.9" "ENSG00000147883"
"ENSG00000146278.10" "ENSG00000146278"
"ENSG00000173992.4" "ENSG00000173992"
"ENSG00000132256.14" "ENSG00000132256"
"ENSG00000224186.4" "ENSG00000224186"
"ENSG00000234857.2" "ENSG00000234857"
"ENSG00000129116.13" "ENSG00000129116"
"ENSG00000157077.10" "ENSG00000157077"
"ENSG00000253797.2" "ENSG00000253797"
"ENSG00000138604.5" "ENSG00000138604"
"ENSG00000109787.8" "ENSG00000109787"
"ENSG00000135678.7" "ENSG00000135678"
"ENSG00000175895.3" "ENSG00000175895"
"ENSG00000144802.7" "ENSG00000144802"
"ENSG00000183558.5" "ENSG00000183558"
"ENSG00000184564.8" "ENSG00000184564"
"ENSG00000159147.13" "ENSG00000159147"
"ENSG00000173041.7" "ENSG00000173041"
"ENSG00000270617.1" "ENSG00000270617"
"ENSG00000156273.11" "ENSG00000156273"
"ENSG00000145632.10" "ENSG00000145632"
"ENSG00000005812.6" "ENSG00000005812"
"ENSG00000144369.8" "ENSG00000144369"
"ENSG00000259305.1" "ENSG00000259305"
"ENSG00000270181.1" "ENSG00000270181"
"ENSG00000145331.9" "ENSG00000145331"
"ENSG00000154914.12" "ENSG00000154914"
"ENSG00000172461.6" "ENSG00000172461"
"ENSG00000184731.5" "ENSG00000184731"
"ENSG00000102804.10" "ENSG00000102804"
"ENSG00000144290.12" "ENSG00000144290"
"ENSG00000127870.12" "ENSG00000127870"
"ENSG00000099338.18" "ENSG00000099338"
"ENSG00000162735.14" "ENSG00000162735"
"ENSG00000255284.1" "ENSG00000255284"
"ENSG00000058272.11" "ENSG00000058272"
"ENSG00000183742.8" "ENSG00000183742"
"ENSG00000099875.10" "ENSG00000099875"
"ENSG00000153113.19" "ENSG00000153113"
"ENSG00000126106.9" "ENSG00000126106"
"ENSG00000251664.2" "ENSG00000251664"
"ENSG00000146066.2" "ENSG00000146066"
"ENSG00000254122.1" "ENSG00000254122"
"ENSG00000134970.13" "ENSG00000134970"
