"E2up_split"
"ENSG00000164626.8" "ENSG00000164626"
"ENSG00000136997.10" "ENSG00000136997"
"ENSG00000146243.9" "ENSG00000146243"
"ENSG00000113739.6" "ENSG00000113739"
"ENSG00000164128.2" "ENSG00000164128"
"ENSG00000099337.3" "ENSG00000099337"
"ENSG00000173706.8" "ENSG00000173706"
"ENSG00000196208.9" "ENSG00000196208"
"ENSG00000165731.13" "ENSG00000165731"
"ENSG00000164916.9" "ENSG00000164916"
"ENSG00000103404.10" "ENSG00000103404"
"ENSG00000118513.14" "ENSG00000118513"
"ENSG00000100219.12" "ENSG00000100219"
"ENSG00000170525.14" "ENSG00000170525"
"ENSG00000198933.5" "ENSG00000198933"
"ENSG00000118369.8" "ENSG00000118369"
"ENSG00000180530.5" "ENSG00000180530"
"ENSG00000138443.11" "ENSG00000138443"
"ENSG00000118707.5" "ENSG00000118707"
"ENSG00000015133.14" "ENSG00000015133"
"ENSG00000033327.8" "ENSG00000033327"
"ENSG00000183779.5" "ENSG00000183779"
"ENSG00000181788.3" "ENSG00000181788"
"ENSG00000107562.12" "ENSG00000107562"
"ENSG00000179388.8" "ENSG00000179388"
"ENSG00000110092.3" "ENSG00000110092"
"ENSG00000137801.9" "ENSG00000137801"
"ENSG00000180834.3" "ENSG00000180834"
"ENSG00000082175.10" "ENSG00000082175"
"ENSG00000111799.16" "ENSG00000111799"
"ENSG00000054598.5" "ENSG00000054598"
"ENSG00000172575.7" "ENSG00000172575"
"ENSG00000117394.15" "ENSG00000117394"
"ENSG00000131759.13" "ENSG00000131759"
"ENSG00000237330.2" "ENSG00000237330"
"ENSG00000175792.7" "ENSG00000175792"
"ENSG00000175591.7" "ENSG00000175591"
"ENSG00000141753.5" "ENSG00000141753"
"ENSG00000099860.4" "ENSG00000099860"
"ENSG00000163659.8" "ENSG00000163659"
"ENSG00000185532.10" "ENSG00000185532"
"ENSG00000129993.10" "ENSG00000129993"
"ENSG00000198959.7" "ENSG00000198959"
"ENSG00000197375.8" "ENSG00000197375"
"ENSG00000074410.9" "ENSG00000074410"
"ENSG00000253626.2" "ENSG00000253626"
"ENSG00000196159.7" "ENSG00000196159"
"ENSG00000107815.3" "ENSG00000107815"
"ENSG00000185950.7" "ENSG00000185950"
"ENSG00000175920.11" "ENSG00000175920"
"ENSG00000185697.12" "ENSG00000185697"
"ENSG00000181026.13" "ENSG00000181026"
"ENSG00000164741.10" "ENSG00000164741"
"ENSG00000095397.9" "ENSG00000095397"
"ENSG00000167106.7" "ENSG00000167106"
"ENSG00000100580.7" "ENSG00000100580"
"ENSG00000048162.15" "ENSG00000048162"
"ENSG00000185761.6" "ENSG00000185761"
"ENSG00000136826.10" "ENSG00000136826"
"ENSG00000127663.10" "ENSG00000127663"
"ENSG00000177479.15" "ENSG00000177479"
"ENSG00000134717.13" "ENSG00000134717"
"ENSG00000096968.8" "ENSG00000096968"
"ENSG00000182704.6" "ENSG00000182704"
"ENSG00000183484.7" "ENSG00000183484"
"ENSG00000074964.12" "ENSG00000074964"
"ENSG00000154274.10" "ENSG00000154274"
"ENSG00000100311.12" "ENSG00000100311"
"ENSG00000125630.11" "ENSG00000125630"
"ENSG00000248905.4" "ENSG00000248905"
"ENSG00000160182.2" "ENSG00000160182"
"ENSG00000152137.2" "ENSG00000152137"
"ENSG00000188112.4" "ENSG00000188112"
"ENSG00000148339.8" "ENSG00000148339"
"ENSG00000196428.8" "ENSG00000196428"
"ENSG00000083828.11" "ENSG00000083828"
"ENSG00000198042.6" "ENSG00000198042"
"ENSG00000082516.8" "ENSG00000082516"
"ENSG00000170500.8" "ENSG00000170500"
"ENSG00000162975.3" "ENSG00000162975"
"ENSG00000138018.13" "ENSG00000138018"
"ENSG00000185090.10" "ENSG00000185090"
"ENSG00000170345.5" "ENSG00000170345"
"ENSG00000123505.10" "ENSG00000123505"
"ENSG00000148840.6" "ENSG00000148840"
"ENSG00000011523.9" "ENSG00000011523"
"ENSG00000165271.12" "ENSG00000165271"
"ENSG00000197977.3" "ENSG00000197977"
"ENSG00000140450.7" "ENSG00000140450"
"ENSG00000182319.5" "ENSG00000182319"
"ENSG00000116251.5" "ENSG00000116251"
"ENSG00000128274.11" "ENSG00000128274"
"ENSG00000113645.9" "ENSG00000113645"
"ENSG00000153707.11" "ENSG00000153707"
"ENSG00000147419.12" "ENSG00000147419"
"ENSG00000251537.4" "ENSG00000251537"
"ENSG00000198929.8" "ENSG00000198929"
"ENSG00000087263.12" "ENSG00000087263"
"ENSG00000241878.5" "ENSG00000241878"
"ENSG00000119714.6" "ENSG00000119714"
"ENSG00000173166.13" "ENSG00000173166"
"ENSG00000112183.10" "ENSG00000112183"
"ENSG00000120690.9" "ENSG00000120690"
"ENSG00000221926.7" "ENSG00000221926"
"ENSG00000141404.11" "ENSG00000141404"
"ENSG00000198712.1" "ENSG00000198712"
"ENSG00000068650.14" "ENSG00000068650"
"ENSG00000136944.13" "ENSG00000136944"
"ENSG00000109062.5" "ENSG00000109062"
"ENSG00000114737.11" "ENSG00000114737"
"ENSG00000138069.12" "ENSG00000138069"
"ENSG00000219481.6" "ENSG00000219481"
"ENSG00000116337.11" "ENSG00000116337"
