"logFC" "logCPM" "PValue" "FDR"
"ENSG00000145439.7" -4.16498239901149 6.64505854414155 9.54843527005142e-44 1.21446548199784e-39
"ENSG00000164626.8" 4.73355749987087 5.13712341000124 9.43739933224231e-35 6.0017141053395e-31
"ENSG00000136997.10" 3.06102932500618 7.45776632839928 1.21284940072157e-32 5.1420771759259e-29
"ENSG00000146243.9" 4.71405300051417 5.54833273935991 8.016414481062e-31 2.54901939461569e-27
"ENSG00000113739.6" 2.73450560036286 8.18218906526686 5.91502364534065e-30 1.50466371490176e-26
"ENSG00000164128.2" 3.80528639527272 5.40733771587328 1.26295473197386e-28 2.67725353932926e-25
"ENSG00000099337.3" 2.96981684859904 6.21054082984773 1.016236792398e-25 1.84650225178717e-22
"ENSG00000173706.8" 3.15801620711554 5.52957065789052 4.84595765633379e-23 7.70446692886369e-20
"ENSG00000258539.1" -6.42361934423117 5.89903883621429 2.18520792748667e-22 3.08818440330033e-19
"ENSG00000196208.9" 2.38268176154803 7.50515023492437 8.74199231408992e-22 1.1118940024291e-18
"ENSG00000165731.13" 2.30754906923189 7.43033255770395 4.34451846084932e-20 5.02344820941296e-17
"ENSG00000164916.9" 2.51840636167115 6.73304555978028 1.09591602197906e-19 1.16157965696263e-16
"ENSG00000103404.10" 2.5578805371073 6.34330592842039 4.15622466660362e-19 4.06638627188703e-16
"ENSG00000118513.14" 2.68255625418192 5.67768965134548 6.55101947685818e-19 5.95160119472565e-16
"ENSG00000100219.12" 2.05884049590814 9.87412605401991 9.38956043659522e-19 7.96172127953697e-16
"ENSG00000170525.14" 2.08640315305335 7.65513665612482 2.90552741290127e-18 2.3097126977932e-15
"ENSG00000198933.5" 3.8803962142311 4.48285557247527 4.86856562827512e-17 3.64254624859008e-14
"ENSG00000118369.8" 2.87593773410516 5.27140873705783 5.59206008258677e-17 3.95141178835673e-14
"ENSG00000180530.5" 2.10084343927606 7.34118483523189 9.38878102359603e-17 6.28504767574305e-14
"ENSG00000138443.11" 1.93905088510217 6.75297450404571 7.94655424466559e-16 4.84572999756998e-13
"ENSG00000118707.5" 1.99418388197816 6.38984745854144 8.00065492168957e-16 4.84572999756998e-13
"ENSG00000015133.14" 1.96218634958474 7.46294050409016 1.33915043504909e-15 7.74211562881337e-13
"ENSG00000033327.8" 2.20006955796881 6.01859446711555 1.5436818920281e-15 8.53656086291539e-13
"ENSG00000183779.5" 1.88053294740856 6.91848667565828 2.73093380434895e-15 1.44728112739643e-12
