gene_id,E2_rep1,E2_rep2,untr_rep1,untr_rep2
ENSG00000116032.5,8,13,11,15
ENSG00000137288.5,574,395,622,426
ENSG00000167578.12,394,326,187,288
ENSG00000102081.9,1338,1341,1794,1713
ENSG00000167531.2,0,1,0,1
ENSG00000103227.14,635,452,1150,514
ENSG00000188385.7,99,60,70,78
ENSG00000078237.4,339,238,374,334
ENSG00000008382.11,559,400,436,386
ENSG00000166257.4,2,2,2,2
ENSG00000168005.4,1590,1112,1450,1247
ENSG00000268332.1,5,0,0,0
ENSG00000060642.6,51,128,120,76
ENSG00000149136.3,4247,3331,3615,3017
ENSG00000099204.14,282,394,325,314
ENSG00000157827.15,141,106,144,139
ENSG00000204644.5,0,0,0,0
ENSG00000167700.4,548,457,465,428
ENSG00000172137.14,5,3,2,3
ENSG00000178776.4,0,0,0,1
ENSG00000117500.8,899,916,685,728
ENSG00000234465.6,0,0,2,0
ENSG00000124159.11,5,6,4,5
ENSG00000198131.9,413,461,219,322
ENSG00000100523.10,538,277,286,296
ENSG00000182141.5,244,98,323,367
ENSG00000051825.10,710,1389,488,524
ENSG00000255482.1,1,1,1,2
ENSG00000204438.6,4,2,3,3
ENSG00000130332.10,727,725,545,486
ENSG00000164287.8,16,15,15,24
ENSG00000153132.8,7,16,13,6
ENSG00000180423.4,89,88,128,108
ENSG00000128886.7,60,58,71,28
ENSG00000174640.8,24,17,10,16
ENSG00000100221.6,1067,772,1089,1038
ENSG00000139567.8,2,1,1,3
ENSG00000102174.7,77,77,77,52
ENSG00000118900.10,3449,2878,3051,2787
ENSG00000074590.9,1129,765,1487,1143
ENSG00000204869.4,5,6,1,4
ENSG00000186943.1,0,0,0,0
ENSG00000205174.2,0,1,0,0
ENSG00000166391.10,0,1,1,5
ENSG00000196248.4,0,0,0,0
ENSG00000000005.5,0,0,0,2
ENSG00000214314.1,1,2,1,1
ENSG00000214106.3,17,12,26,27
ENSG00000171848.9,4317,4262,4372,4320
ENSG00000177465.4,145,129,126,101
ENSG00000179094.9,242,225,194,207
ENSG00000142405.17,4,4,3,4
ENSG00000142528.11,868,515,377,144
ENSG00000179262.5,2528,2168,1991,1900
ENSG00000116783.10,122,15,10,16
ENSG00000171105.9,1325,1181,1089,1114
ENSG00000135127.7,1033,923,1125,975
ENSG00000096395.6,2,4,4,3
ENSG00000133597.5,754,668,648,618
ENSG00000170776.15,2581,1900,2079,1540
ENSG00000110243.7,2,1,0,0
ENSG00000077713.14,299,266,427,284
ENSG00000166368.2,0,0,0,0
ENSG00000181609.5,0,0,0,0
ENSG00000078668.9,1532,1336,1288,1139
ENSG00000157429.11,8,6,9,11
ENSG00000183434.9,1,1,0,0
ENSG00000135823.9,2935,2658,2678,4809
ENSG00000169213.6,258,221,193,182
ENSG00000145536.11,5,5,5,13
ENSG00000101199.8,2266,2276,2330,2010
ENSG00000185933.6,0,1,5,2
ENSG00000171759.4,13,22,22,10
ENSG00000116668.8,79,97,90,76
ENSG00000119487.12,2558,2226,2275,2020
ENSG00000198963.6,5,4,3,7
ENSG00000095587.8,11,11,6,23
ENSG00000064601.12,5339,4763,4362,4293
ENSG00000100450.8,0,0,0,1
ENSG00000269113.3,8,0,0,11
ENSG00000185652.7,0,2,2,0
ENSG00000088854.11,479,279,365,402
ENSG00000008517.12,24,19,30,22
ENSG00000101446.7,0,0,0,2
ENSG00000084693.11,404,282,352,208
ENSG00000173451.2,54,96,62,2
ENSG00000172717.11,281,150,231,152
ENSG00000088179.4,456,266,428,341
ENSG00000166634.2,0,0,1,0
ENSG00000138442.5,911,771,602,407
ENSG00000198932.8,51,63,70,58
ENSG00000154258.12,7,6,6,9
ENSG00000198964.9,672,577,685,678
ENSG00000070081.11,1870,1675,1838,1634
ENSG00000135637.9,60,18,72,30
ENSG00000158458.15,11,18,13,22
ENSG00000196167.5,3,30,38,32
ENSG00000152034.6,2,2,3,4
ENSG00000235604.1,1,1,0,1
ENSG00000161558.6,108,33,114,22
ENSG00000171872.4,115,109,96,103
ENSG00000134318.9,1690,1558,1490,1475
ENSG00000250571.2,213,148,230,154
ENSG00000198908.7,114,50,145,114
ENSG00000173457.6,2200,1885,1667,1574
ENSG00000134900.7,1415,1257,963,944
ENSG00000100246.8,146,149,21,105
ENSG00000184881.2,0,0,0,0
ENSG00000196878.8,41,20,35,28
ENSG00000198454.2,0,0,0,1
ENSG00000221870.2,0,0,0,0
ENSG00000118972.1,1,0,0,1
ENSG00000009413.11,3668,3630,3408,2936
ENSG00000184436.7,339,263,225,190
ENSG00000179833.4,428,460,501,523
ENSG00000130559.14,2404,1950,1475,1300
ENSG00000258064.1,1,3,2,2
ENSG00000198791.7,1429,1238,1189,1056
ENSG00000165312.5,362,367,470,474
ENSG00000159618.11,5,4,2,4
ENSG00000091542.8,1969,1667,1543,1490
ENSG00000204843.8,2865,2201,2398,2123
ENSG00000158966.9,20,20,59,26
ENSG00000109163.6,5,13,8,6
ENSG00000268472.1,0,0,0,2
ENSG00000097033.10,734,715,654,610
ENSG00000182872.11,1935,1662,1611,1382
ENSG00000054598.5,748,754,84,86
ENSG00000130635.11,266,131,104,67
ENSG00000108840.11,694,531,636,567
ENSG00000166426.7,89,70,73,57
ENSG00000167397.10,211,229,248,171
ENSG00000145850.4,4,2,2,6
ENSG00000120471.10,2,3,3,1
ENSG00000126804.9,553,517,660,1067
ENSG00000184634.11,1141,767,1011,832
ENSG00000153914.11,2227,2005,2009,1861
ENSG00000183378.7,0,0,0,0
ENSG00000179088.10,111,111,141,141
ENSG00000116991.6,746,517,628,609
ENSG00000161040.12,214,119,223,208
ENSG00000133640.14,8,4,7,9
ENSG00000137145.16,1151,1019,987,788
ENSG00000173531.11,54,59,68,46
ENSG00000112367.6,377,369,349,363
ENSG00000180901.6,903,673,843,736
ENSG00000181467.2,826,771,680,654
ENSG00000169093.10,506,424,357,355
ENSG00000138079.9,6,9,9,9
ENSG00000168228.10,88,56,96,52
ENSG00000140577.11,1007,863,954,785
ENSG00000196502.7,169,116,74,104
ENSG00000125351.6,605,474,595,485
ENSG00000179335.14,865,526,948,646
ENSG00000152332.11,3006,3209,2866,2809
ENSG00000180574.3,85,45,85,49
ENSG00000122859.4,0,0,0,0
ENSG00000101194.13,6,6,5,0
ENSG00000187522.9,1584,1075,1006,739
ENSG00000172367.11,1,2,2,2
ENSG00000112394.12,22,46,28,50
ENSG00000135622.8,62,70,46,42
ENSG00000196510.8,1432,1119,946,886
ENSG00000143340.6,4,2,5,7
ENSG00000137077.3,0,0,0,0
ENSG00000219607.2,0,0,2,2
ENSG00000165655.14,217,195,110,129
ENSG00000215274.5,1,1,1,2
ENSG00000174442.7,893,811,781,813
ENSG00000120662.11,52,34,72,48
ENSG00000162851.6,751,679,439,379
ENSG00000107821.10,101,122,155,156
ENSG00000022567.5,1247,430,380,403
ENSG00000125827.4,1690,1489,1585,1480
ENSG00000125744.7,243,186,221,148
ENSG00000143630.5,264,254,304,315
ENSG00000139697.7,3709,3409,2731,2559
ENSG00000133661.11,13,7,13,8
ENSG00000064042.13,145,103,92,100
ENSG00000102931.3,697,507,630,619
ENSG00000162616.8,0,0,0,0
ENSG00000196739.10,78,64,66,70
ENSG00000214367.3,397,387,295,362
ENSG00000115170.9,487,443,578,417
ENSG00000141219.11,572,461,360,386
ENSG00000236104.2,10,8,136,119
